venue,team,matches,wins,win_rate
"Arun Jaitley Stadium, Delhi",Chennai Super Kings,1,1,1.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,1,0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,1,0,0.0
"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,1,1,1.0
"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,1,1,1.0
"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,1,0,0.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",Mumbai Indians,1,0,0.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",Royal Challengers Bengaluru,2,2,1.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,3,0,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,1,1,1.0
"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,1,0,0.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",Kolkata Knight Riders,1,0,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Mumbai Indians,1,1,1.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,1,0,0.0
"Eden Gardens, Kolkata",Gujarat Titans,1,0,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,2,2,1.0
"Arun Jaitley Stadium, Delhi",Rajasthan Royals,1,0,0.0
"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,1,1,1.0
"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,1,0,0.0
"Eden Gardens, Kolkata",Mumbai Indians,1,0,0.0
"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,1,0,0.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,1,0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,1,1,1.0
"Wankhede Stadium, Mumbai",Rajasthan Royals,1,1,1.0
"Eden Gardens, Kolkata",Delhi Capitals,1,1,1.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Gujarat Titans,1,0,0.0
